SYMBOL	ALIAS	HGNC	ENTREZ
RBM26	ZC3H17	20327	64062
RBM26	ARRS2	20327	64062
RBM26	PPP1R132	20327	64062
RBM26	C13orf10	20327	64062
RBM26	RBM26	20327	64062
RBM26-AS1	RBM26-AS1	39805	100505538
RBM27	KIAA1311	29243	54439
RBM27	ARRS1	29243	54439
RBM27	Psc1	29243	54439
RBM27	ZC3H20	29243	54439
RBM27	RBM27	29243	54439
RBM28	FLJ10377	21863	55131
RBM28	RBM28	21863	55131
RBM3	IS1-RNPL	9900	5935
RBM3	RBM3	9900	5935
RBM33	DKFZp686F102	27223	155435
RBM33	MGC20460	27223	155435
RBM33	DKFZp434D1319	27223	155435
RBM33	PRR8	27223	155435
RBM33	RBM33	27223	155435
RBM34	KIAA0117	28965	23029
RBM34	RBM34	28965	23029
RBM38	HSRNASEB	15818	55544
RBM38	SEB4D	15818	55544
RBM38	seb4B	15818	55544
RBM38	dJ800J21.2	15818	55544
RBM38	RNPC1	15818	55544
RBM38	RBM38	15818	55544
RBM38-AS1	RBM38-AS1	40725	100291105
RBM39	CC1.3	15923	9584
RBM39	HCC1	15923	9584
RBM39	CAPER	15923	9584
RBM39	fSAP59	15923	9584
RBM39	CAPERalpha	15923	9584
RBM39	RNPC2	15923	9584
RBM39	RBM39	15923	9584
RBM39P1	RBM39P1	54942	643167
RBM4	LARK	9901	5936
RBM4	RBM4A	9901	5936
RBM4	ZCRB3A	9901	5936
RBM4	ZCCHC21	9901	5936
RBM4	RBM4	9901	5936
RBM41	FLJ11016	25617	55285
RBM41	RBM41	25617	55285
RBM42	MGC10433	28117	79171
RBM42	RBM42	28117	79171
RBM43	FLJ45645	24790	375287
RBM43	C2orf38	24790	375287
RBM43	RBM43	24790	375287
RBM43P1	RBM43P1	46024	100131568
RBM44	FLJ40411	24756	375316
RBM44	RBM44	24756	375316
RBM45	DRB1	24468	129831
RBM45	FLJ44612	24468	129831
RBM45	RBM45	24468	129831
RBM46	MGC27016	28401	166863
RBM46	CT68	28401	166863
RBM46	RBM46	28401	166863
RBM47	FLJ20273	30358	54502
RBM47	NET18	30358	54502
RBM47	RBM47	30358	54502
RBM48	DKFZp564O0523	21785	84060
RBM48	HSPC304	21785	84060
RBM48	C7orf64	21785	84060
RBM48	RBM48	21785	84060
RBM48P1	RBM48P1	44054	132817
RBM4B	MGC10871	28842	83759
RBM4B	ZCCHC15	28842	83759
RBM4B	RBM4L	28842	83759
RBM4B	ZCRB3B	28842	83759
RBM4B	ZCCHC21B	28842	83759
RBM4B	RBM30	28842	83759
RBM4B	RBM4B	28842	83759
RBM5	LUCA15	9902	10181
RBM5	LUCA-15	9902	10181
RBM5	H37	9902	10181
RBM5	RBM5	9902	10181
RBM5-AS1	LUST	48871	100775107
RBM5-AS1	RBM5-AS1	48871	100775107
RBM6	DEF-3	9903	10180
RBM6	3G2	9903	10180
RBM6	NY-LU-12	9903	10180
RBM6	g16	9903	10180
RBM6	RBM6	9903	10180
RBM7	RBM7	9904	10179
RBM7P1	RBM7P1	54704	100420108
RBM8A	ZNRP	9905	9939
RBM8A	BOV-1A	9905	9939
RBM8A	BOV-1B	9905	9939
RBM8A	BOV-1C	9905	9939
RBM8A	Y14	9905	9939
RBM8A	RBM8	9905	9939
RBM8A	RBM8A	9905	9939
RBM8B	RBM8B	13426	112846
RBMS1	SCR2	9907	5937
RBMS1	MSSP-1	9907	5937
RBMS1	MSSP-2	9907	5937
RBMS1	MSSP-3	9907	5937
RBMS1	YC1	9907	5937
RBMS1	DKFZp564H0764	9907	5937
RBMS1	C2orf12	9907	5937
RBMS1	RBMS1	9907	5937
RBMS1P1	MSSP1	9908	5938
RBMS1P1	RBMS1P	9908	5938
RBMS1P1	RBMS1P1	9908	5938
RBMS2	SCR3	9909	5939
RBMS2	RBMS2	9909	5939
RBMS2P1	RBMS2P	30994	643427
RBMS2P1	RBMS2P1	30994	643427
RBMS3	RBMS3	13427	27303
